company,label,url,enabled
동부건설,채용,https://www.dongbu.co.kr/recruit/recruitInfo.do,True
동부건설,사업소개,https://www.dongbu.co.kr/business/business01.do,True
,,,
쌍용건설,공식 홈페이지,https://www.ssyenc.com,True
쌍용건설,채용,https://recruit.ssyenc.com,True
쌍용건설,사업소개,https://www.ssyenc.com/business/building,True
,,,
KCC건설,공식 홈페이지,https://www.kccworld.net/kcc건설,True
KCC건설,채용,https://www.kccworld.net/recruit,True
KCC건설,사업소개,https://www.kccworld.net/business,True
,,,
서희건설,공식 홈페이지,https://www.seohee.co.kr,True
서희건설,채용,https://www.seohee.co.kr/recruit/recruitInfo.do,True
서희건설,사업소개,https://www.seohee.co.kr/business/business01.do,True
,,,
HL디앤아이한라,공식 홈페이지,https://www.hldni.com,True
HL디앤아이한라,채용,https://www.hldni.com/recruit/recruit.do,True
HL디앤아이한라,사업소개,https://www.hldni.com/business/architecture.do,True
,,,
신세계건설,공식 홈페이지,https://www.ssgenc.com,True
신세계건설,채용,https://www.ssgenc.com/recruit/recruit.do,True
신세계건설,사업소개,https://www.ssgenc.com/business/business01.do,True
,,,
진흥기업,공식 홈페이지,https://www.chinhung.co.kr,True
진흥기업,채용,https://www.chinhung.co.kr/recruit/recruitInfo.do,True
진흥기업,사업소개,https://www.chinhung.co.kr/business/business01.do,True
,,,
효성중공업 건설부문,공식 홈페이지,https://www.hyosungheavyindustries.com,True
효성중공업 건설부문,채용,https://www.hyosungheavyindustries.com/kr/recruit,True
효성중공업 건설부문,사업소개,https://www.hyosungheavyindustries.com/kr/business/construction,True
,,,
BS한양,공식 홈페이지,https://www.hanyangcorp.co.kr,True
BS한양,채용,https://www.hanyangcorp.co.kr/recruit/recruitInfo.do,True
BS한양,사업소개,https://www.hanyangcorp.co.kr/business/business01.do,True
,,,
우미건설,공식 홈페이지,https://www.woomi.co.kr,True
우미건설,채용,https://www.woomi.co.kr/recruit/recruitInfo.do,True
우미건설,사업소개,https://www.woomi.co.kr/business/business01.do,True
,,,
삼부토건,공식 홈페이지,https://www.sambu.co.kr,True
삼부토건,채용,https://www.sambu.co.kr/recruit/recruitInfo.do,True
삼부토건,사업소개,https://www.sambu.co.kr/business/business01.do,True
,,,
남광토건,공식 홈페이지,https://www.namkwang.co.kr,True
남광토건,채용,https://www.namkwang.co.kr/recruit/recruitInfo.do,True
남광토건,사업소개,https://www.namkwang.co.kr/business/business01.do,True
,,,
한신공영,공식 홈페이지,https://www.hanshin.com,True
한신공영,채용,https://www.hanshin.com/recruit/recruitInfo.do,True
한신공영,사업소개,https://www.hanshin.com/business/business01.do,True
,,,
두산에너빌리티 건설부문,공식 홈페이지,https://www.doosanenerbility.com,True
두산에너빌리티 건설부문,채용,https://career.doosan.com,True
두산에너빌리티 건설부문,사업소개,https://www.doosanenerbility.com/kr/business,True
,,,
삼환기업,공식 홈페이지,https://www.samwhan.co.kr,True
삼환기업,채용,https://www.samwhan.co.kr/recruit/recruitInfo.do,True
삼환기업,사업소개,https://www.samwhan.co.kr/business/business01.do,True
,,,
동원건설산업,공식 홈페이지,https://www.dwconst.co.kr,True
동원건설산업,채용,https://www.dwconst.co.kr/recruit/recruitInfo.do,True
동원건설산업,사업소개,https://www.dwconst.co.kr/business/business01.do,True
